Component ID,Component Name,Category,Surface(s),Screenshot References,Current Appearance,Design Tokens Used
DOC-NAV-001,Sidebar top-level navigation list,Navigation,Documentation,01_documentation/index.png,"Left column with nested section links, blue text with bold active item and arrow indicators",--color-primary; --color-text-secondary; --spacing-md
DOC-NAV-002,Sidebar search input,Interactive,Documentation,01_documentation/index.png,Rounded search field with magnifier icon above navigation tree,--color-border; --color-bg-secondary; --spacing-sm
DOC-NAV-003,Sidebar section toggle caret,Navigation,Documentation,01_documentation/index.png,Chevron indicators preceding collapsible nav sections,--color-text-muted; --spacing-xs
DOC-NAV-004,On-this-page anchor column,Navigation,Documentation,01_documentation/benchmarks/index.png,Right rail list of page anchors with bold section headings,--color-primary; --spacing-sm; --spacing-md
DOC-LYT-001,Two-column documentation layout shell,Layout,Documentation,01_documentation/index.png,Content column centered between persistent nav and anchor rail,--spacing-lg; --spacing-xl; --color-bg-primary
DOC-TYP-001,Documentation hero page title (H1),Typography,Documentation,01_documentation/index.png,Bold headline with dark blue text and generous top padding,--color-text-primary; heading-1; --spacing-md
DOC-TYP-002,Section heading (H2),Typography,Documentation,01_documentation/benchmarks/index.png,24px bold heading with bottom border accent,--color-text-primary; heading-2; --spacing-sm
DOC-TYP-003,Body paragraph text,Typography,Documentation,01_documentation/index.png,16px body copy with 28px leading and neutral gray color,--color-text-secondary; body-1; --spacing-sm
DOC-TYP-004,Bulleted list,Typography,Documentation,01_documentation/index.png,Indented bullets with tight vertical spacing and blue links,--spacing-xs; --color-primary; body-1
DOC-TYP-005,Link inline style,Typography,Documentation,01_documentation/index.png,Bright blue text links with underline on hover,--color-primary; --color-primary-hover
DOC-TYP-006,Inline code snippet,Typography,Documentation,01_documentation/index.png,Monospace pill with navy background and accent text,--color-primary-light; code-font; --spacing-xs
DOC-CODE-001,Code block header bar,Layout,Documentation | Code Examples,01_documentation/index.png; 01_documentation/guides/controllers.png,Dark header with filename text and control buttons,--color-primary; --color-border; code-font
DOC-CODE-002,Syntax highlighted code body,Typography,Documentation | Code Examples,01_documentation/guides/controllers.png,Dark theme code area with multi-color syntax and 16px line height,code-font; --spacing-sm; --color-bg-secondary
DOC-INT-001,Collapse All master control,Interactive,Documentation,01_documentation/index.png,Gradient buttons labelled Collapse All / Expand All with code block count pill,--color-info; --color-primary; --spacing-sm
DOC-INT-002,Code collapse toggle button,Interactive,Documentation | Code Examples,01_documentation/guides/controllers.png; 05_test_results/baseline/test_1_3_all_collapsed.png,Minimal caret button next to copy control with low opacity default state,--color-text-muted; --spacing-xs
DOC-INT-003,Copy to clipboard button,Interactive,Documentation | Code Examples,01_documentation/guides/controllers.png,Transparent square button with copy icon aligned to code header,--color-text-secondary; --spacing-xs
DOC-LYT-002,Visual navigation card grid,Layout,Documentation,01_documentation/index.png,Three-column card grid with icon badges and label text,--spacing-md; --color-primary; --color-bg-secondary
DOC-TYP-007,Visual navigation card title,Typography,Documentation,01_documentation/index.png,14px uppercase label with medium gray text,--color-text-secondary; body-2
DOC-LYT-003,Quick Start step block,Layout,Documentation,01_documentation/index.png,Stacked blocks with dark headers and expand icon,--color-primary; --spacing-sm; --spacing-md
DOC-LYT-004,Project information footer,Layout,Documentation,01_documentation/index.png,Dense link list grouped by audiences with minimal vertical padding,--spacing-xs; --color-text-secondary
DOC-LYT-005,Footer metadata line,Typography,Documentation,01_documentation/index.png,Small gray text for version and last updated info,--color-text-muted; caption; --spacing-xs
DOC-LYT-006,Documentation breadcrumb controls,Navigation,Documentation,01_documentation/benchmarks/index.png,Previous/Next pager links with arrow chevrons at page bottom,--color-primary; --spacing-sm; --spacing-md
DOC-CAL-001,Admonition note container,Layout,Documentation,01_documentation/guides/getting-started.png,Rounded block with gradient background and animated side icon,--color-info; --shadow-md; --spacing-lg
DOC-CAL-002,Admonition icon badge,Interactive,Documentation,01_documentation/guides/getting-started.png,Circular pulsing icon positioned to left of admonition copy,--color-info; --shadow-glow; animation-fast
DOC-LYT-007,Callout information block,Layout,Documentation,01_documentation/DOCUMENTATION_STYLE_GUIDE.png,Bordered left-accent container with gradient background,--color-info; --spacing-lg; --shadow-sm
DOC-TYP-008,Data table header style,Typography,Documentation,01_documentation/DOCUMENTATION_COVERAGE_MATRIX.png,Uppercase header row with blue background and white text,--color-primary; --color-bg-secondary; table-header
DOC-TYP-009,Data table row style,Typography,Documentation,01_documentation/DOCUMENTATION_COVERAGE_MATRIX.png,Zebra striped rows with 12px padding and small font,--spacing-sm; body-2; --color-border
DOC-TYP-010,Status badge pill,Typography,Documentation,01_documentation/DOCUMENTATION_STYLE_GUIDE.png,Gradient pill with uppercase text and leading icon,--color-success; --color-warning; --spacing-xs
DOC-INT-004,Theme toggle control,Interactive,Documentation,01_documentation/index.png,Floating circular toggle with sun/moon icon in top toolbar,--color-primary; --shadow-sm; --spacing-xs
DOC-INT-005,Back-to-top floating button,Interactive,Documentation,01_documentation/index.png,Circular blue FAB with arrow icon positioned bottom right,--color-primary; --shadow-lg; --spacing-md
DOC-LYT-008,Reading progress bar,Interactive,Documentation,01_documentation/index.png,Thin gradient bar fixed to top of viewport indicating scroll progress,--color-primary; --color-primary-hover
DOC-TYP-011,Quick navigation list headings,Typography,Documentation,01_documentation/reference/controllers/index.png,All caps labels with light weight preceding bulleted quick lists,--color-text-secondary; body-2; --spacing-sm
DOC-NAV-005,Quick navigation bullet lists,Navigation,Documentation,01_documentation/reference/controllers/index.png,Dense bullet columns linking to module functions,--spacing-xs; --color-primary; body-2
DOC-LYT-009,Module overview hero block,Layout,Documentation,01_documentation/reference/controllers/index.png,Intro paragraph above quick navigation with minimal spacing,--spacing-sm; body-1; --color-text-primary
DOC-INT-006,External link icon,Interactive,Documentation,01_documentation/index.png,Small arrow icon appended to external links within hero description,--color-text-secondary; --spacing-xs
DOC-TYP-012,Feature bullet emphasis,Typography,Documentation,01_documentation/index.png,Bold category label followed by description in same line,--color-text-primary; body-1; --spacing-xs
DOC-LYT-010,Feature section grouping,Layout,Documentation,01_documentation/index.png,Section blocks separated by subtle rule and 24px margin,--spacing-lg; --color-border
DOC-TYP-013,Overview key capabilities list,Typography,Documentation,01_documentation/index.png,Bullet list with italicized category labels and regular details,--spacing-xs; body-1; --color-text-secondary
DOC-INT-007,Table of contents collapse toggles,Interactive,Documentation,01_documentation/index.png,Expandable headings in left nav with clickable caret and bold label,--color-primary; --spacing-sm
DOC-LYT-011,Documentation hero summary paragraph,Typography,Documentation,01_documentation/index.png,Intro paragraph with medium gray copy under the hero heading,--color-text-secondary; body-1; --spacing-sm
DOC-LYT-012,Visual navigation icon chip,Interactive,Documentation,01_documentation/index.png,Rounded icon container with gradient background and emoji icon,--color-primary; --spacing-sm; --shadow-sm
DOC-TYP-014,Quick start duration label,Typography,Documentation,01_documentation/index.png,Italicized durations under each task label,--color-text-muted; body-2; --spacing-xs
DOC-LYT-013,Quick start code block footer,Layout,Documentation | Code Examples,01_documentation/index.png,Code footer with dark background and subtle progress bar,--color-primary-hover; code-font; --spacing-sm
DOC-NAV-006,Footer previous/next pager,Navigation,Documentation,01_documentation/benchmarks/index.png,Horizontal pager with labeled previous and next links,--color-primary; --spacing-md; --spacing-lg
DOC-RES-001,Mobile header stack,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Stacked title and code-block controls within 320px viewport,--spacing-sm; heading-3; --color-primary
DOC-RES-002,Mobile visual navigation grid,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Visual navigation cards collapsing to single column full width,--spacing-md; --color-bg-secondary; --color-primary
DOC-RES-003,Mobile quick start blocks,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Stacked quick start accordions with compressed headers,--spacing-sm; --color-primary; --color-border
DOC-RES-004,Tablet two-column layout,Responsive,Documentation,05_test_results/baseline/test_6_1_tablet_768px.png,Sidebar collapses and anchors move under content at 768px,--spacing-lg; --color-bg-primary
DOC-RES-005,Desktop anchor rail,Responsive,Documentation,01_documentation/index.png,Right aligned anchor column visible above 1024px breakpoint,--spacing-md; --color-border; --color-text-secondary
DOC-RES-006,Responsive code block controls,Responsive,Documentation | Code Examples,05_test_results/baseline/test_1_3_all_collapsed.png,Code copy and collapse controls reposition based on viewport width,--spacing-xs; --color-text-secondary
DOC-RES-007,Mobile page footer metadata,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Footer text wraps to multiple lines with tight spacing,--spacing-xs; caption; --color-text-muted
DOC-INT-008,Code block expand animation,Interactive,Documentation | Test Results,05_test_results/baseline/test_1_3_all_collapsed.png; 05_test_results/baseline/test_1_3_all_expanded.png,Animated height transition with opacity fade when toggling code sections,animation-default; --color-primary; --color-bg-secondary
DOC-LYT-014,Analysis summary blocks,Layout,Documentation,01_documentation/mcp-debugging/index.png,"Stacked sections with heading, bullet list, and code sample",--spacing-md; body-1; --color-text-primary
DOC-TYP-015,Comparison table in MCP guide,Typography,Documentation,01_documentation/mcp-debugging/index.png,Three-column feature comparison with colored headers,--color-primary; --spacing-sm; body-2
DOC-INT-009,Enumerated instruction blocks,Interactive,Documentation,01_documentation/guides/interactive/jupyter-notebooks-demo.png,Numbered steps with bold numerals and embedded code,--spacing-sm; heading-3; body-1
DOC-TYP-016,Inline emphasis callouts,Typography,Documentation,01_documentation/guides/interactive/jupyter-notebooks-demo.png,Red italicized inline spans used for warnings,--color-error; body-2
DOC-TYP-017,Quick reference card headings,Typography,Documentation,01_documentation/guides/QUICK_REFERENCE.png,Small uppercase headings with underline accent bars,--color-primary; body-2; --spacing-xs
DOC-LYT-015,Quick reference card body,Layout,Documentation,01_documentation/guides/QUICK_REFERENCE.png,Two-column bullet layout with tight leading and small icons,--spacing-sm; --color-text-secondary; body-2
DOC-TYP-018,Documentation style guide example code,Typography,Documentation | Code Examples,01_documentation/DOCUMENTATION_STYLE_GUIDE.png,Embedded code samples demonstrating tone with dark theme formatting,code-font; --color-bg-secondary; --spacing-sm
DOC-RES-008,Desktop nav hover state,Responsive,Documentation,01_documentation/index.png,Left nav links change background on hover while maintaining layout,--color-primary-light; --spacing-sm
DOC-RES-009,Mobile sidebar toggle button,Responsive,Documentation,05_test_results/baseline/test_6_1_mobile_320px.png,Hamburger icon in top bar controlling drawer navigation,--color-text-primary; --spacing-sm
DOC-RES-010,Tablet search placement,Responsive,Documentation,05_test_results/baseline/test_6_1_tablet_768px.png,Search field moves into collapsible header at tablet breakpoint,--spacing-md; --color-border; --color-bg-secondary
